place_id,place_name,country,admin_level,time_id,year,variable_id,value,unit,evidence_type,source_id,confidence,missing_reason,caveat,notes
PHL,Philippines,PHL,ADM0,2019,2019,flood.population_exposed.worldpop,43.86,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
PHL,Philippines,PHL,ADM0,2019,2019,flood.population_exposed.landscan,50.12,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
PHL,Philippines,PHL,ADM0,2019,2019,flood.population_exposed.hrsl,42.65,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
PRI,Puerto Rico,PRI,ADM0,2019,2019,flood.population_exposed.worldpop,0.81,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
PRI,Puerto Rico,PRI,ADM0,2019,2019,flood.population_exposed.landscan,0.80,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
PRI,Puerto Rico,PRI,ADM0,2019,2019,flood.population_exposed.hrsl,0.68,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
RWA,Rwanda,RWA,ADM0,2019,2019,flood.population_exposed.worldpop,0.95,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
RWA,Rwanda,RWA,ADM0,2019,2019,flood.population_exposed.landscan,1.03,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
RWA,Rwanda,RWA,ADM0,2019,2019,flood.population_exposed.hrsl,0.59,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
ZAF,South Africa,ZAF,ADM0,2019,2019,flood.population_exposed.worldpop,3.39,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
ZAF,South Africa,ZAF,ADM0,2019,2019,flood.population_exposed.landscan,4.86,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
ZAF,South Africa,ZAF,ADM0,2019,2019,flood.population_exposed.hrsl,2.02,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
LKA,Sri Lanka,LKA,ADM0,2019,2019,flood.population_exposed.worldpop,3.62,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
LKA,Sri Lanka,LKA,ADM0,2019,2019,flood.population_exposed.landscan,4.52,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
LKA,Sri Lanka,LKA,ADM0,2019,2019,flood.population_exposed.hrsl,2.84,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
TZA,Tanzania,TZA,ADM0,2019,2019,flood.population_exposed.worldpop,7.72,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
TZA,Tanzania,TZA,ADM0,2019,2019,flood.population_exposed.landscan,7.86,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
TZA,Tanzania,TZA,ADM0,2019,2019,flood.population_exposed.hrsl,5.29,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
UGA,Uganda,UGA,ADM0,2019,2019,flood.population_exposed.worldpop,4.18,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
UGA,Uganda,UGA,ADM0,2019,2019,flood.population_exposed.landscan,4.56,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
UGA,Uganda,UGA,ADM0,2019,2019,flood.population_exposed.hrsl,1.66,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
